,BUYER_STATE,BUYER_ZIP,BUYER_COUNTY,FIPS
8649,TX,75189,ROCKWALL,48397
8650,AZ,85755,PIMA,4019
8653,NM,88119,DE BACA,35011
8654,MD,21660,CAROLINE,24011
8656,FL,32830,ORANGE,12095
8659,IA,51249,OSCEOLA,19143
8660,PA,15668,WESTMORELAND,42129
8661,MI,49968,GOGEBIC,26053
8662,OR,97347,POLK,41071
8664,PA,18330,MONROE,42089
8667,CA,95236,SAN JOAQUIN,6077
8668,SC,29835,MCCORMICK,45065
8669,FL,33616,HILLSBOROUGH,12057
8674,WI,54871,WASHBURN,55129
8675,IA,52772,CEDAR,19103
8678,GA,31010,CRISP,13081
8680,OK,73078,CANADIAN,40109
8682,LA,70116,ORLEANS,22071
8683,AZ,85757,PIMA,4019
8686,TX,75831,LEON,48313
8689,HI,96731,HONOLULU,15003
8690,WA,99169,ADAMS,53043
8692,IN,46989,GRANT,18053
8695,WI,54773,TREMPEALEAU,55121
8696,CO,81435,SAN MIGUEL,8113
8697,LA,71465,LA SALLE,22059
8699,VA,24352,CARROLL,51035
8702,PA,16353,FOREST,42053
8704,TX,78023,BEXAR,48029
8707,WI,54558,VILAS,55125
8708,TX,79927,EL PASO,48141
8710,NM,88352,OTERO,35035
8711,MO,65686,STONE,29209
8713,NY,10706,WESTCHESTER,36119
8714,KS,67749,DECATUR,20153
8715,MS,39327,NEWTON,28101
8716,WI,53530,LAFAYETTE,55065
8717,IA,50156,BOONE,19015
8720,WA,98625,COWLITZ,53015
8722,NC,27820,NORTHAMPTON,37131
8723,WV,26801,HARDY,54031
8724,WA,98815,CHELAN,53007
8726,VT,5777,RUTLAND,50021
8727,IL,61911,DOUGLAS,17041
8729,PA,19362,CHESTER,42029
8733,KS,66856,COFFEY,20139
8735,SC,29061,RICHLAND,45079
8736,NJ,8251,CAPE MAY,34009
8738,MS,38666,PANOLA,28107
8740,IL,60827,COOK,17031
8746,KY,40150,BULLITT,21093
8749,PA,16828,CENTRE,42027
8751,TN,38120,SHELBY,47157
8753,MN,55069,CHISAGO,27163
8757,MO,63461,MARION,29173
8758,ND,58341,WELLS,38103
8759,MS,38878,CALHOUN,28017
8762,ID,83226,CUSTER,16059
8763,VA,23015,HANOVER,51177
8767,OK,74872,GARVIN,40123
8771,CO,80467,ROUTT,8107
8772,WI,53946,GREEN LAKE,55077
8774,IL,60165,COOK,17031
8780,MI,49045,VAN BUREN,26159
8781,CA,95685,AMADOR,6005
8782,WI,53520,GREEN,55045
8784,GA,31822,HARRIS,13145
8788,MN,55614,LAKE,27075
8790,MN,56437,TODD,27153
8792,TN,37150,MACON,47111
8793,MA,2460,MIDDLESEX,25017
8797,NY,11560,NASSAU,36059
8800,IL,61112,WINNEBAGO,17201
8801,MS,39569,JACKSON,28059
8802,MO,63456,MONROE,29137
8804,MT,59759,JEFFERSON,30043
8806,SC,29127,NEWBERRY,45079
8810,IL,62075,MONTGOMERY,17135
8811,ND,58267,GRAND FORKS,38035
8813,IL,62230,CLINTON,17163
8815,OK,73932,BEAVER,40007
8816,NJ,7504,PASSAIC,34031
8818,SD,57013,LINCOLN,46083
8821,CA,90001,LOS ANGELES,6037
8825,MO,65761,OZARK,29213
8827,AR,72354,POINSETT,5111
8828,KY,41514,PIKE,21195
8829,KY,40312,POWELL,21197
8830,CA,93648,FRESNO,6019
8836,IL,60192,COOK,17031
8842,IL,60189,DUPAGE,17043
8846,NJ,8525,MERCER,34021
8849,WI,54732,CHIPPEWA,55035
8853,WV,24853,MCDOWELL,54047
8855,GA,31328,CHATHAM,13051
8857,IN,47944,BENTON,18171
8860,MT,59868,MISSOULA,30063
8861,IA,51108,WOODBURY,19193
8862,WV,26571,MARION,54049
8866,MN,55921,HOUSTON,27169
8868,NY,10570,WESTCHESTER,36119
8869,OK,74014,WAGONER,40145
8870,KY,42544,PULASKI,21199
8872,SC,29817,BARNWELL,45011
8873,CO,81506,MESA,8077
8874,MI,49453,ALLEGAN,26005
8880,MN,55750,SAINT LOUIS,27137
8881,WV,26547,PRESTON,54077
8882,MS,39168,SMITH,28129
8883,MI,49092,CALHOUN,26025
8888,AL,36040,LOWNDES,1085
8889,NJ,7830,HUNTERDON,34019
8894,MN,56442,CROW WING,27035
8896,KS,66040,LINN,20107
8898,NM,87937,DONA ANA,35013
8900,LA,71135,CADDO,22017
8902,TN,38229,WEAKLEY,47183
8903,MD,21655,CAROLINE,24011
8905,SC,29860,AIKEN,45037
8907,NY,12831,SARATOGA,36091
8910,IL,60503,WILL,17197
8911,FL,32233,DUVAL,12089
8914,IL,60491,WILL,17197
8915,VA,23421,ACCOMACK,51001
8916,PR,678,QUEBRADILLAS,72115
8917,MI,48623,SAGINAW,26145
8920,MI,48139,LIVINGSTON,26093
8923,MI,48353,LIVINGSTON,26093
8926,MS,39119,COVINGTON,28129
8929,PR,983,CAROLINA,72031
8931,NM,87747,COLFAX,35007
8932,GA,30178,BARTOW,13057
8937,CA,93545,INYO,6027
8939,KY,41004,BRACKEN,21161
8941,GA,30707,WALKER,13295
8942,TX,79546,FISHER,48151
8943,CA,93921,MONTEREY,6053
8944,NY,11427,QUEENS,36081
8945,OH,45846,MERCER,39107
8946,KY,42455,WEBSTER,21233
8947,MN,56538,OTTER TAIL,27111
8949,WA,98295,WHATCOM,53073
8950,KS,67579,RICE,20159
8951,KY,42352,MCLEAN,21183
8953,MI,48631,BAY,26017
8955,OK,73728,ALFALFA,40003
8956,MA,2144,MIDDLESEX,25017
8960,CO,80216,DENVER,8031
8962,CA,90604,LOS ANGELES,6037
8966,MO,65010,BOONE,29019
8969,LA,70437,SAINT TAMMANY,22103
8972,AR,72040,PRAIRIE,5117
8973,NE,69033,CHASE,31135
8974,PA,18255,CARBON,42079
8978,SC,29909,BEAUFORT,45013
8980,IA,50014,STORY,19169
8981,TX,78390,SAN PATRICIO,48409
8982,KY,40008,NELSON,21229
8984,CT,6071,TOLLAND,9015
8986,TX,75941,ANGELINA,48005
8989,ND,58852,WILLIAMS,38105
8990,LA,70391,ASSUMPTION,22007
8992,CA,93622,FRESNO,6019
8998,PA,15478,FAYETTE,42051
9002,NY,14619,MONROE,36055
9006,TX,75789,SMITH,48423
9007,IL,61548,WOODFORD,17203
9008,CO,81073,BACA,8099
9010,NM,87520,RIO ARRIBA,35039
9012,NY,11507,NASSAU,36059
9015,KY,42023,CARLISLE,21039
9017,IL,60173,COOK,17031
9023,AL,35958,JACKSON,1071
9025,SC,29107,ORANGEBURG,45075
9026,IN,46069,HAMILTON,18097
9030,CA,94518,CONTRA COSTA,6013
9031,NJ,8542,MERCER,34021
9034,MI,49220,LENAWEE,26091
9037,MN,56572,OTTER TAIL,27111
9039,OR,97882,UMATILLA,41059
9040,PA,16371,WARREN,42123
9041,NJ,7074,BERGEN,34003
9044,IA,50248,STORY,19169
9045,IL,60104,COOK,17031
9051,CT,6043,TOLLAND,9015
9053,WY,82214,PLATTE,56031
9054,NY,14772,CATTARAUGUS,36009
9057,CO,80549,LARIMER,8069
9059,VT,5081,ORANGE,50017
9061,KS,67449,DICKINSON,20127
9063,SD,57366,HUTCHINSON,46125
9065,AL,36344,GENEVA,1061
9067,OK,73834,HARPER,40059
9068,IL,61065,BOONE,17007
9070,NJ,8102,CAMDEN,34007
9072,TX,76446,ERATH,48193
9074,MI,48005,MACOMB,26099
9077,MT,59538,PHILLIPS,30071
9078,IL,60653,COOK,17031
9084,OH,44140,CUYAHOGA,39035
9089,WI,53574,GREEN,55045
9091,PR,976,TRUJILLO ALTO,72033
9093,CA,92082,SAN DIEGO,6073
9094,WI,54201,KEWAUNEE,55061
9096,NY,12154,RENSSELAER,36083
9098,OH,44405,MAHONING,39099
9101,NJ,7073,BERGEN,34003
9104,NY,11423,QUEENS,36081
9105,PA,15056,ALLEGHENY,42003
9110,NY,12584,ORANGE,36071
9113,AZ,85007,MARICOPA,4013
9116,LA,70788,IBERVILLE,22047
9119,MD,20695,CHARLES,24017
9121,WA,98840,OKANOGAN,53047
9122,MI,48164,WAYNE,26163
9123,ME,3908,YORK,23031
9124,CA,93204,KINGS,6031
9126,WI,54021,PIERCE,55093
9128,AR,71743,CLARK,5109
9131,GA,30828,WARREN,13301
9132,VA,22039,FAIRFAX,51059
9137,TX,79096,WHEELER,48483
9138,MO,65248,HOWARD,29089
9139,WI,54634,VERNON,55123
9140,SD,57325,BRULE,46017
9141,PA,18623,WYOMING,42131
9142,NY,12944,CLINTON,36033
9145,NE,68787,WAYNE,31179
9146,MN,56636,ITASCA,27061
9148,OR,97362,MARION,41047
9149,LA,71486,SABINE,22085
9150,LA,70344,TERREBONNE,22109
9151,IA,50144,DECATUR,19053
9153,SC,29804,AIKEN,45037
9155,NE,69336,MORRILL,31123
9156,VA,20116,FAUQUIER,51061
9157,NY,11369,QUEENS,36081
9158,PA,18902,BUCKS,42017
9161,IL,62265,CLINTON,17163
9163,RI,2921,PROVIDENCE,44007
9164,PA,15214,ALLEGHENY,42003
9169,TX,75212,DALLAS,48113
9175,MN,56531,GRANT,27155
9177,PA,16145,MERCER,42085
9179,PR,784,GUAYAMA,72057
9180,PA,17068,PERRY,42099
9181,VT,5822,ORLEANS,50019
9182,AZ,85349,YUMA,4027
9183,UT,84631,MILLARD,49027
9184,IA,50659,CHICKASAW,19067
9186,LA,71407,GRANT,22043
9188,MA,1364,FRANKLIN,25011
9190,HI,96712,HONOLULU,15003
9191,TN,37656,WASHINGTON,47179
9192,TX,75860,FREESTONE,48293
9194,KS,66783,WOODSON,20207
9195,PA,18977,BUCKS,42017
9198,IN,47579,SPENCER,18147
9200,AL,35178,SHELBY,1117
9201,PR,603,AGUADILLA,72071
9204,SD,57262,ROBERTS,46109
9205,MN,55410,HENNEPIN,27171
9208,VA,24486,AUGUSTA,51163
9212,MA,1778,MIDDLESEX,25017
9216,ND,58270,WALSH,38099
9217,MI,49078,ALLEGAN,26005
9223,IA,50854,RINGGOLD,19159
9224,KY,41007,CAMPBELL,21037
9226,MN,56267,STEVENS,27149
9227,NJ,7624,BERGEN,34003
9230,CO,80737,SEDGWICK,8115
9231,NJ,7457,MORRIS,34027
9234,IL,61063,WINNEBAGO,17201
9235,ID,83340,BLAINE,16013
9236,MD,21090,ANNE ARUNDEL,24003
9239,SD,57252,GRANT,46109
9240,VA,20152,LOUDOUN,51107
9241,MO,65604,GREENE,29077
9245,NH,3049,HILLSBOROUGH,33011
9249,IA,50536,PALO ALTO,19151
9251,CA,91003,LOS ANGELES,6037
9255,TX,78076,ZAPATA,48505
9256,NY,10536,WESTCHESTER,36119
9257,NY,11514,NASSAU,36059
9260,WI,54736,PEPIN,55091
9261,CA,95827,SACRAMENTO,6067
9264,KS,67663,ROOKS,20163
9265,CT,6013,HARTFORD,9003
9270,OH,43619,WOOD,39173
9271,WI,54540,VILAS,55125
9272,CO,80807,KIT CARSON,8125
9273,OK,73443,CARTER,40019
9275,CO,81122,LA PLATA,8067
9277,NC,27943,DARE,37055
9278,NJ,7075,BERGEN,34003
9281,NC,27325,MOORE,37125
9283,VA,22611,CLARKE,51043
9284,WA,98321,PIERCE,53053
9285,MN,55116,RAMSEY,27123
9287,MO,64862,JASPER,29145
9289,KS,67642,GRAHAM,20163
9290,DC,20004,DISTRICT OF COLUMBIA,11001
9291,GA,31825,STEWART,13259
9293,IL,61241,HENRY,17073
9297,NE,68138,SARPY,31153
9298,SD,57469,SPINK,46115
9299,WI,54840,BURNETT,55095
9301,PA,17252,FRANKLIN,42055
9303,IN,46055,HANCOCK,18059
9306,MO,65051,OSAGE,29151
9307,CA,91739,SAN BERNARDINO,6071
9308,IA,52317,JOHNSON,19103
9310,PA,19037,DELAWARE,42045
9312,PA,19121,PHILADELPHIA,42101
9313,OK,73062,KIOWA,40141
9316,CO,81641,RIO BLANCO,8103
9317,FL,32333,GADSDEN,12039
9319,IL,62976,PULASKI,17153
9320,TX,78627,WILLIAMSON,48491
9321,MN,55427,HENNEPIN,27171
9324,AR,72331,CRITTENDEN,5037
9326,OR,97469,DOUGLAS,41019
9327,NC,27605,WAKE,37183
9328,TX,76501,BELL,48099
9331,NC,27869,NORTHAMPTON,37131
9332,AL,36862,CHAMBERS,1017
9334,TN,37692,UNICOI,47171
9336,CA,96118,SIERRA,6091
9337,WA,98124,KING,53033
9340,IL,62442,CLARK,17033
9343,MO,64113,JACKSON,29095
9346,ME,4920,SOMERSET,23025
9347,NY,11370,QUEENS,36081
9348,MI,49012,KALAMAZOO,26077
9351,CA,91390,LOS ANGELES,6037
9355,IA,50054,JASPER,19153
9357,WA,99159,LINCOLN,53063
9360,OH,44721,STARK,39151
9364,WI,53044,SHEBOYGAN,55131
9366,TX,79731,CRANE,48103
9367,NC,27822,WILSON,37195
9368,ND,58368,PIERCE,38069
9369,IL,62260,SAINT CLAIR,17163
9371,OH,44452,MAHONING,39099
9374,PR,754,SAN LORENZO,72129
9375,CT,6855,FAIRFIELD,9001
9377,KS,67349,ELK,20049
9378,NC,27871,MARTIN,37147
9380,MO,65723,LAWRENCE,29145
9383,NY,11753,NASSAU,36059
9386,OR,97403,LANE,41039
9387,LA,70071,SAINT JAMES,22095
9389,KY,40067,SHELBY,21211
9390,OK,73547,GREER,40055
9392,VT,5663,WASHINGTON,50023
9393,GA,31407,CHATHAM,13051
9395,IL,62258,SAINT CLAIR,17163
9397,PA,15215,ALLEGHENY,42003
9402,NY,11411,QUEENS,36081
9403,TX,75693,GREGG,48183
9408,GA,31047,HOUSTON,13153
9410,MN,56628,ITASCA,27061
9412,CO,80903,EL PASO,8041
9415,NC,28366,SAMPSON,37163
9416,NY,13408,MADISON,36053
9419,MN,55812,SAINT LOUIS,27137
9420,AR,71640,CHICOT,5017
9422,NH,3251,GRAFTON,33009
9424,OH,45780,ATHENS,39009
9426,GA,30415,BULLOCH,13031
9427,KS,67756,CHEYENNE,20023
9428,CA,92614,ORANGE,6059
9430,PR,680,MAYAGUEZ,72097
9431,MO,65682,DADE,29109
9433,LA,70757,IBERVILLE,22047
9436,TX,79027,CASTRO,48069
9437,WA,98620,KLICKITAT,53039
9439,MS,39421,JEFFERSON DAVIS,28091
9441,NY,12567,DUTCHESS,36027
9443,NY,14174,NIAGARA,36063
9445,NM,87008,BERNALILLO,35001
9447,NY,14172,NIAGARA,36063
9449,MN,55413,HENNEPIN,27171
9452,AR,72461,CLAY,5055
9455,NE,68522,LANCASTER,31109
9457,MN,55705,SAINT LOUIS,27137
9458,MS,39154,HINDS,28049
9461,AK,99833,PETERSBURG,2195
9462,VA,24590,ALBEMARLE,51079
9466,CO,80547,LARIMER,8069
9468,KS,66757,WILSON,20205
9470,GA,30183,CHEROKEE,13227
9473,NJ,7630,BERGEN,34003
9476,IA,50047,WARREN,19181
9477,GA,39840,RANDOLPH,13273
9479,OH,43526,DEFIANCE,39125
9481,NY,14433,WAYNE,36117
9482,PR,692,VEGA ALTA,72145
9483,ME,4217,OXFORD,23017
9484,MO,64402,GENTRY,29147
9486,NC,28586,CRAVEN,37147
9490,NY,11769,SUFFOLK,36103
9491,ND,58421,FOSTER,38103
9492,NJ,7762,MONMOUTH,34025
9494,NY,11971,SUFFOLK,36103
9495,SC,29420,DORCHESTER,45015
9498,WI,53563,ROCK,55105
9500,NY,12122,SCHOHARIE,36095
9501,PA,18051,LEHIGH,42077
9503,MS,38873,TISHOMINGO,28141
9504,MA,2465,MIDDLESEX,25017
9508,OH,43762,MUSKINGUM,39119
9510,TN,37049,ROBERTSON,47165
9512,FL,33767,PINELLAS,12103
9513,WV,26287,TUCKER,54093
9514,PR,676,MOCA,72099
9515,NY,12027,SARATOGA,36091
9518,MN,56011,SCOTT,27139
9520,LA,71068,BIENVILLE,22081
9522,WI,54162,BROWN,55009
9526,TX,78014,LA SALLE,48283
9527,MO,64640,DAVIESS,29061
9528,CA,91775,LOS ANGELES,6037
9532,IL,62938,POPE,17151
9533,MD,20903,MONTGOMERY,24031
9535,WY,83101,LINCOLN,56023
9536,WA,98241,SNOHOMISH,53061
9537,TX,75964,NACOGDOCHES,48347
9539,NY,10516,PUTNAM,36079
9541,ME,4681,HANCOCK,23009
9542,KS,66739,CHEROKEE,20021
9543,MN,56241,YELLOW MEDICINE,27173
9544,TX,76802,BROWN,48049
9546,PR,662,ISABELA,72115
9547,TX,77523,CHAMBERS,48291
9551,MD,21635,KENT,24029
9553,CT,6757,LITCHFIELD,9005
9555,SC,29122,NEWBERRY,45079
9559,NJ,7826,SUSSEX,34037
9561,MO,64491,ATCHISON,29005
9562,PA,18711,LUZERNE,42079
9565,KS,66846,MORRIS,20197
9566,TN,37345,FRANKLIN,47051
9570,FL,32736,LAKE,12095
9576,IA,52565,VAN BUREN,19177
9577,VA,23510,NORFOLK CITY,51710
9579,MN,56101,COTTONWOOD,27101
9582,NE,68370,THAYER,31169
9583,WV,25571,LINCOLN,54099
9586,NH,3242,MERRIMACK,33013
9589,TX,78164,DE WITT,48175
9591,CA,90010,LOS ANGELES,6037
9595,PR,792,HUMACAO,72069
9596,KY,42021,CARLISLE,21039
9598,CT,6498,MIDDLESEX,9007
9600,OH,43334,MORROW,39117
9601,PA,19492,MONTGOMERY,42091
9603,NC,28551,LENOIR,37191
9605,NV,89441,WASHOE,32031
9606,FL,33838,POLK,12105
9607,IA,50140,DECATUR,19053
9609,MT,59313,FALLON,30025
9610,RI,2903,PROVIDENCE,44007
9611,AZ,85003,MARICOPA,4013
9614,AZ,86002,COCONINO,4005
9616,UT,84534,SAN JUAN,49037
9617,HI,96748,MAUI,15009
9618,MN,55320,WRIGHT,27171
9619,MD,21643,DORCHESTER,24019
9620,TN,38054,SHELBY,47157
9622,PA,16950,TIOGA,42117
9623,NC,28678,ALEXANDER,37097
9625,MN,55042,WASHINGTON,27163
9626,TX,79322,CROSBY,48107
9627,IA,51334,EMMET,19109
9629,NY,14036,GENESEE,36073
9633,OH,43080,LICKING,39089
9635,NY,13203,ONONDAGA,36067
9636,NV,89883,ELKO,32007
9637,NY,14903,CHEMUNG,36015
9639,CO,81632,EAGLE,8037
9642,MO,63822,STODDARD,29207
9644,TX,75202,DALLAS,48113
9650,MA,2120,SUFFOLK,25025
9651,NY,13411,CHENANGO,36077
9654,PR,783,COROZAL,72135
9655,KY,42721,GRAYSON,21093
9657,WI,54669,LA CROSSE,55063
9658,TX,79928,EL PASO,48141
9660,OH,43023,LICKING,39089
9662,MD,21562,ALLEGANY,24001
9664,MO,63137,SAINT LOUIS,29189
9666,TX,76844,MILLS,48333
9667,IL,62615,SANGAMON,17167
9668,AL,35078,SHELBY,1117
9669,PA,15851,JEFFERSON,42065
9670,IL,60434,WILL,17197
9671,TN,37329,MCMINN,47123
9673,CT,6831,FAIRFIELD,9001
9675,NY,11932,SUFFOLK,36103
9676,MI,49614,MANISTEE,26165
9679,PA,16063,BUTLER,42019
9682,SD,57380,CHARLES MIX,46023
9684,NY,12932,ESSEX,36031
9687,SD,57717,BUTTE,46081
9688,SD,57005,MINNEHAHA,46099
9690,KY,40702,WHITLEY,21235
9691,FL,32317,LEON,12073
9692,NY,12134,FULTON,36035
9695,OH,44904,RICHLAND,39139
9696,TX,79347,BAILEY,48369
9697,KY,42256,LOGAN,21219
9698,MN,55398,SHERBURNE,27141
9700,CA,93203,KERN,6029
9705,GA,31005,HOUSTON,13153
9707,MT,59201,ROOSEVELT,30085
9709,CA,93546,MONO,6051
9710,TN,37060,RUTHERFORD,47149
9713,SC,29164,AIKEN,45037
9715,LA,70512,SAINT LANDRY,22097
9717,NC,27863,WAYNE,37195
9719,MT,59422,TETON,30099
9720,NC,27527,JOHNSTON,37101
9724,IA,51201,OBRIEN,19141
9727,NH,3824,STRAFFORD,33017
9728,IL,60601,COOK,17031
9734,OK,73546,TILLMAN,40141
9735,TX,75078,COLLIN,48121
9741,OR,97530,JACKSON,41033
9743,OH,43718,BELMONT,39067
9747,OK,74120,TULSA,40145
9750,MT,59644,BROADWATER,30007
9751,VA,22520,WESTMORELAND,51193
9752,VA,22206,ARLINGTON,51013
9756,MI,48441,HURON,26063
9759,MO,63565,PUTNAM,29211
9760,MN,55012,CHISAGO,27163
9764,NH,3748,GRAFTON,33009
9766,OK,73858,ELLIS,40045
9767,NJ,7029,HUDSON,34017
9768,CA,90221,LOS ANGELES,6037
9772,PR,605,AGUADILLA,72071
9775,TX,76570,FALLS,48331
9777,VT,5032,WINDSOR,50027
9778,KS,66207,JOHNSON,20091
9781,OK,73628,ROGER MILLS,40129
9782,MI,48655,SAGINAW,26145
9785,MD,21210,BALTIMORE CITY,24510
9786,PR,736,CAYEY,72035
9787,IL,60603,COOK,17031
9793,TX,78104,BEE,48025
9795,GA,30521,FRANKLIN,13119
9798,LA,71409,RAPIDES,22079
9799,WI,53103,WAUKESHA,55133
9800,VA,22435,NORTHUMBERLAND,51133
9803,KS,66712,CRAWFORD,20037
9804,VT,5860,ORLEANS,50019
9805,OH,45368,CLARK,39023
9808,NY,10921,ORANGE,36071
9811,OH,45144,ADAMS,39071
9815,PR,795,JUANA DIAZ,72113
9816,KY,41840,LETCHER,21133
9818,TN,38317,CARROLL,47017
9820,VA,23868,BRUNSWICK,51025
9821,CT,6019,HARTFORD,9003
9826,IL,61102,WINNEBAGO,17201
9827,NY,10119,NEW YORK,36061
9828,NY,14813,ALLEGANY,36101
9832,PA,18472,WAYNE,42127
9833,MS,38683,TIPPAH,28139
9835,GA,30535,HABERSHAM,13137
9838,OH,44022,CUYAHOGA,39035
9843,DC,20024,DISTRICT OF COLUMBIA,11001
9844,TN,38103,SHELBY,47157
9846,ID,83445,FREMONT,16043
9848,GA,31650,ATKINSON,13069
9849,GA,31087,HANCOCK,13303
9850,NY,10471,BRONX,36005
9853,IL,62411,EFFINGHAM,17079
9856,MO,63088,SAINT LOUIS,29189
9858,NJ,8733,OCEAN,34029
9859,AR,72081,WHITE,5145
9860,AL,35462,GREENE,1063
9861,TX,78009,MEDINA,48325
9862,TX,78648,CALDWELL,48187
9864,ND,58208,GRAND FORKS,38035
9866,TX,77353,MONTGOMERY,48339
9869,IL,62963,PULASKI,17153
9870,MN,55388,CARVER,27085
9874,AL,35579,WALKER,1127
9876,TN,38374,DECATUR,47077
9877,MI,48014,SAINT CLAIR,26147
9879,SC,29112,ORANGEBURG,45075
9880,TX,75117,VAN ZANDT,48467
9881,TN,38357,MCNAIRY,47109
9882,TX,78606,BLANCO,48453
9885,OH,43912,BELMONT,39067
9889,TX,79088,SWISHER,48437
9890,MI,49245,CALHOUN,26025
9895,MT,59474,TOOLE,30101
9896,OR,97064,COLUMBIA,41009
9898,WV,25812,FAYETTE,54089
9902,OH,43522,WOOD,39173
9903,VA,23936,BUCKINGHAM,51049
9904,FL,32321,LIBERTY,12077
9905,CA,93625,FRESNO,6019
9911,PA,16441,ERIE,42049
9913,OH,43502,FULTON,39051
9917,AL,36268,TALLADEGA,1121
9918,MO,64644,CALDWELL,29061
9919,PA,17101,DAUPHIN,42043
9921,NC,27508,FRANKLIN,37069
9924,PA,18202,LUZERNE,42079
9927,IL,60602,COOK,17031
9933,OK,73010,MCCLAIN,40087
9935,TX,77066,HARRIS,48201
9938,WA,98121,KING,53033
9941,IL,60026,COOK,17031
9947,NY,14719,CATTARAUGUS,36009
9950,FL,34987,SAINT LUCIE,12111
9951,OK,73663,DEWEY,40043
9953,PR,698,YAUCO,72153
9954,PA,18413,SUSQUEHANNA,42127
9956,WI,53531,DANE,55049
9961,TX,75082,DALLAS,48113
9967,AZ,85933,NAVAJO,4017
9968,CA,90716,LOS ANGELES,6037
9972,KS,67361,CHAUTAUQUA,20035
9974,TX,78259,BEXAR,48029
9977,ME,4658,WASHINGTON,23029
9978,VT,5091,WINDSOR,50027
9979,MA,2066,PLYMOUTH,25023
9980,IA,50621,GRUNDY,19171
9982,KS,67110,SEDGWICK,20173
9984,AL,36322,DALE,1061
9987,NC,28398,DUPLIN,37061
9990,MI,49094,BRANCH,26025
9992,VA,22448,KING GEORGE,51099
9994,OK,73048,CADDO,40015
9999,ME,4083,YORK,23031
10000,PA,19012,MONTGOMERY,42091
10002,WV,25033,PUTNAM,54079
10003,OK,73481,CARTER,40019
10005,NY,13637,JEFFERSON,36045
10007,TX,78373,NUECES,48355
10008,VI,802,SAINT THOMAS,78030
10009,ID,83851,BENEWAH,16055
10011,CA,94925,MARIN,6041
10013,WV,25921,RALEIGH,54081
10015,HI,96727,HAWAII,15001
10016,OK,74451,CHEROKEE,40021
10018,VA,24175,BOTETOURT,51163
10021,MS,39159,SHARKEY,28163
10022,IL,60069,LAKE,17097
10024,GA,39851,CLAY,13243
10025,PA,15323,WASHINGTON,42125
10026,MO,65281,CHARITON,29175
10027,NY,12202,ALBANY,36001
10030,CA,95467,LAKE,6033
10032,KS,67951,STEVENS,20189
10033,KS,66861,MARION,20115
10034,MS,39071,MADISON,28089
10035,CO,80866,TELLER,8119
10036,NJ,7432,BERGEN,34003
10039,AL,35620,LIMESTONE,1083
10041,TX,78574,HIDALGO,48215
10042,TX,78552,CAMERON,48061
10045,NY,14470,ORLEANS,36073
10046,MI,49920,IRON,26071
10047,TX,76437,EASTLAND,48429
10049,CA,96039,SISKIYOU,6093
10050,KS,66414,OSAGE,20139
10052,IL,62979,GALLATIN,17059
10053,OH,44490,COLUMBIANA,39029
10055,NJ,7310,HUDSON,34017
10056,NY,11422,QUEENS,36081
10057,VA,23055,FLUVANNA,51109
10059,NJ,7676,BERGEN,34003
10062,AR,72067,CLEBURNE,5141
10064,VT,5444,CHITTENDEN,50007
10067,CA,94111,SAN FRANCISCO,6075
10069,CA,91024,LOS ANGELES,6037
10073,CA,94104,SAN FRANCISCO,6075
10075,MI,49437,MUSKEGON,26127
10078,AL,35974,DE KALB,1049
10082,OR,97215,MULTNOMAH,41051
10084,IN,46033,HAMILTON,18097
10088,TX,75454,COLLIN,48121
10094,KS,66088,JEFFERSON,20087
10096,KS,66103,WYANDOTTE,20209
10097,PA,16731,MCKEAN,42083
10099,MT,59847,MISSOULA,30063
10100,KS,67204,SEDGWICK,20173
10102,VA,24090,BOTETOURT,51163
10105,NH,3451,CHESHIRE,33005
10107,PA,19555,BERKS,42011
10112,NC,27874,HALIFAX,37185
10114,TX,77480,BRAZORIA,48157
10119,TX,75491,GRAYSON,48181
10120,MI,49117,BERRIEN,26021
10123,OK,73572,COTTON,40033
10124,NC,27157,FORSYTH,37067
10127,NY,10925,ORANGE,36071
10130,AR,72641,NEWTON,5101
10131,MS,39153,SMITH,28129
10132,OH,43431,SANDUSKY,39173
10135,TX,78633,WILLIAMSON,48491
10136,CA,96028,SHASTA,6089
10138,MO,64673,MERCER,29129
10139,WA,98591,LEWIS,53041
10141,CO,80437,JEFFERSON,8059
10143,OH,44288,PORTAGE,39133
10146,MD,21163,HOWARD,24027
10148,MA,2054,NORFOLK,25021
10151,WI,54724,CHIPPEWA,55035
10155,KS,67672,TREGO,20195
10156,MI,48320,OAKLAND,26125
10159,WA,98403,PIERCE,53053
10160,NE,69138,DAWSON,31111
10163,IL,62806,EDWARDS,17185
10165,NY,11796,SUFFOLK,36103
10166,NE,68873,HOWARD,31093
10167,IL,60195,COOK,17031
10173,MI,49330,KENT,26123
10176,CO,81432,OURAY,8113
10177,NC,28204,MECKLENBURG,37119
10180,IL,60449,WILL,17197
10181,PA,16421,ERIE,42049
10183,ID,83644,CANYON,16027
10185,MN,55070,ANOKA,27059
10188,AL,35072,COOSA,1051
10190,AL,36750,CHILTON,1037
10192,LA,70532,JEFFERSON DAVIS,22053
10193,PA,17853,SNYDER,42109
10195,MA,1240,BERKSHIRE,25003
10197,PR,705,AIBONITO,72043
10198,GA,30755,WHITFIELD,13313
10199,TN,38004,TIPTON,47167
10200,PR,659,HATILLO,72065
10201,TX,79930,EL PASO,48141
10203,TX,76040,TARRANT,48439
